submission_date,STATE,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
4/15/21,Missouri,576579,,,503,191,8634,,,4,0,4/16/21 10:12,Not agree,Not agree
4/15/21,New Jersey,967401,848566,118835,3917,552,25053,22461,2592,47,0,4/16/21 14:12,Agree,Agree
4/15/21,Connecticut,328000,301921,26079,702,105,7990,6574,1416,6,0,4/16/21 14:12,Agree,Agree
4/15/21,Maryland,433359,,,1564,0,8528,8342,186,16,0,4/16/21 14:12,N/A,Agree
4/15/21,South Carolina,566032,473375,92657,1101,512,9307,,,3,1,4/16/21 14:12,Agree,Not agree
4/15/21,Vermont,21664,,,176,4,240,,,3,0,4/16/21 14:12,Not agree,Not agree
4/15/21,Nevada,309699,,,549,0,5359,,,6,0,4/16/21 14:12,,
4/15/21,Massachusetts,636446,626550,9896,1884,0,17295,17087,208,5,0,4/16/21 14:12,Agree,Agree
4/15/21,Ohio,1048109,883946,164163,2164,581,18917,18917,0,0,0,4/16/21 14:12,Agree,Agree
4/15/21,Georgia,1079979,865827,214152,1600,668,19662,17130,2532,62,4,4/16/21 14:12,Agree,Agree
4/15/21,West Virginia,147596,116447,31149,393,61,2772,,,16,1,4/16/21 14:12,Agree,Not agree
4/15/21,Iowa,358873,,,478,99,5870,,,13,13,4/16/21 14:12,Not agree,Not agree
4/15/21,Kansas,305320,246881,58439,0,50,4944,,,0,-17,4/16/21 14:12,Agree,N/A
4/15/21,Texas,2833504,,,3051,281,48425,,,84,0,4/16/21 14:12,Not agree,Not agree
4/15/21,Arkansas,332949,,,283,67,5686,,,6,4,4/16/21 14:12,Not agree,Not agree
4/15/21,Pennsylvania,1092852,923771,169081,5060,1436,25566,,,44,36,4/16/21 14:12,Agree,Not agree
4/15/21,South Dakota,120613,,,234,57,1949,1587,362,1,0,4/16/21 14:12,N/A,Agree
4/15/21,Tennessee,829114,686174,142940,1535,442,12041,9663,2378,9,0,4/16/21 14:12,Agree,Agree
4/15/21,New Mexico,194605,,,227,0,3997,,,1,0,4/16/21 14:12,N/A,Not agree
4/15/21,New York,1082315,,,4150,0,19122,,,24,0,4/16/21 14:12,Not agree,Not agree
4/15/21,Florida,2108030,,,6665,1986,34238,,,74,3,4/16/21 14:12,Not agree,Not agree
4/15/21,Hawaii,30079,,,95,0,470,,,0,0,4/16/21 14:12,Not agree,Not agree
4/15/21,Alaska,63061,,,185,0,329,,,0,0,4/16/21 14:12,N/A,N/A
4/15/21,Colorado,485318,454552,30766,1500,205,6177,5441,736,5,2,4/16/21 14:12,Agree,Agree
4/15/21,Utah,391633,391633,0,456,0,2162,2101,61,1,0,4/16/21 14:12,Agree,Agree
4/15/21,Oklahoma,444863,351105,93758,273,64,6707,5678,1029,-1,0,4/16/21 14:12,Agree,Agree
4/15/21,Illinois,1292515,1292515,0,3581,0,23896,21609,2287,31,-8,4/16/21 14:12,Agree,Agree
4/15/21,New Hampshire,90525,,,542,347,1264,,,3,3,4/16/21 14:12,Not agree,Not agree
4/15/21,Wisconsin,649178,588504,60674,1084,141,7406,6698,708,4,1,4/16/21 14:12,Agree,Agree
4/15/21,Kentucky,435743,330448,105295,821,279,6302,5701,601,17,4,4/16/21 14:12,Agree,Agree
4/15/21,North Dakota,105557,98126,7431,177,32,1478,,,3,0,4/16/21 14:12,Agree,Not agree
4/15/21,Nebraska,215792,,,718,0,2205,,,-21,0,4/16/21 14:12,Not agree,Not agree
4/15/21,Minnesota,549830,,,2729,550,7067,6604,463,11,0,4/16/21 14:12,N/A,Agree
4/15/21,Arizona,851725,790385,61340,460,151,17123,15195,1928,14,1,4/16/21 14:12,Agree,Agree
4/15/21,Indiana,703345,,,1374,0,13194,12789,405,7,0,4/16/21 14:12,Not agree,Agree
4/15/21,Wyoming,57203,48394,8809,76,15,703,703,0,0,0,4/16/21 14:12,Agree,Agree
4/15/21,Louisiana,451476,,,803,292,10273,9388,885,9,6,4/16/21 14:12,Not agree,Agree
4/15/21,North Carolina,941218,809325,131893,2434,613,12359,10901,1458,34,13,4/16/21 14:12,Agree,Agree
4/15/21,Oregon,172931,172931,0,725,0,2455,2455,0,6,0,4/16/21 14:12,Agree,Agree
4/15/21,Montana,106823,98747,8076,192,239,1528,1528,0,2,0,4/16/21 14:12,Agree,Agree
4/14/21,California,3606882,,,2487,0,59372,,,114,0,4/15/21 13:58,Not agree,Not agree
4/14/21,Michigan,850583,764519,86064,9349,1394,17694,16619,1075,37,4,4/15/21 13:58,Agree,Agree
4/14/21,Illinois,1288934,1288934,0,3536,0,23865,21570,2295,39,9,4/15/21 13:58,Agree,Agree
4/14/21,Wyoming,57127,48333,8794,57,11,703,703,0,0,0,4/15/21 13:58,Agree,Agree
4/14/21,South Carolina,564931,472786,92145,0,0,9304,,,0,0,4/15/21 13:58,Agree,Not agree
4/14/21,Minnesota,547101,,,1697,276,7056,6593,463,16,0,4/15/21 13:58,N/A,Agree
4/14/21,Montana,106631,98794,7837,205,241,1526,1526,0,0,0,4/15/21 13:58,Agree,Agree
4/14/21,Mississippi,308521,188856,119665,410,187,7127,4926,2201,5,1,4/15/21 13:58,Agree,Agree
4/14/21,Vermont,21488,,,100,-6,237,,,4,0,4/15/21 13:58,Not agree,Not agree
4/14/21,Kentucky,434922,329906,105016,774,338,6285,5688,597,14,2,4/15/21 13:58,Agree,Agree
4/14/21,Nevada,309150,,,395,0,5353,,,14,0,4/15/21 13:58,,
4/14/21,Missouri,576076,,,583,247,8630,,,5,0,4/15/21 9:58,Not agree,Not agree
4/14/21,Virginia,641626,499675,141951,1415,383,10529,8836,1693,19,-2,4/15/21 13:58,Agree,Agree
4/14/21,Maine,55953,42185,13768,578,193,758,734,24,1,0,4/15/21 13:58,Agree,Agree
4/14/21,Louisiana,450673,,,394,135,10264,9385,879,9,0,4/15/21 13:58,Not agree,Agree
4/14/21,Alaska,62876,,,195,0,310,,,0,0,4/15/21 13:58,N/A,N/A
4/14/21,Colorado,483818,453257,30561,2324,318,6172,5438,734,4,0,4/15/21 13:58,Agree,Agree
4/14/21,Massachusetts,634562,624666,9896,2004,0,17290,17082,208,14,0,4/15/21 13:58,Agree,Agree
4/14/21,Kansas,305320,246931,58389,601,0,4944,,,14,0,4/15/21 13:58,Agree,N/A
4/14/21,Pennsylvania,1087792,920147,167645,5730,2506,25522,,,50,-52,4/15/21 13:58,Agree,Not agree
4/14/21,Oklahoma,444590,350896,93694,302,65,6708,5679,1029,8,0,4/15/21 13:58,Agree,Agree
